Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,125.190002,125.570000,119.430000,120.820000,120.820000,2801700
2021-11-02,122.550003,125.059998,121.540001,124.290001,124.290001,1493300
2021-11-03,128.009995,134.429993,127.519997,131.529999,131.529999,3840400
2021-11-04,130.919998,133.990005,128.850006,129.529999,129.529999,1378200
2021-11-05,130.639999,132.160004,128.369995,129.649994,129.649994,1175800
2021-11-08,131.000000,131.970001,129.600006,130.339996,130.339996,1140200
2021-11-09,130.630005,137.979996,130.399994,135.130005,135.130005,2325500
2021-11-10,133.070007,133.570007,127.760002,130.080002,130.080002,2202100
2021-11-11,129.979996,132.289993,129.880005,130.360001,130.360001,901400
2021-11-12,130.960007,131.850006,130.100006,131.179993,131.179993,669500
2021-11-15,133.250000,135.279999,131.919998,134.440002,134.440002,1347800
2021-11-16,133.779999,139.369995,133.229996,138.050003,138.050003,1298100
